"uf","codigo_ibge","municipio","tipo","status"
"AM","1301654","Guajará","bandeira","revisao_pendente"
"AM","1301704","Humaitá","brasao","revisao_pendente"
"AM","1301704","Humaitá","bandeira","revisao_pendente"
"AM","1301803","Ipixuna","brasao","revisao_pendente"
"AM","1301803","Ipixuna","bandeira","revisao_pendente"
"AM","1301852","Iranduba","brasao","revisao_pendente"
"AM","1301852","Iranduba","bandeira","revisao_pendente"
"AM","1301902","Itacoatiara","brasao","revisao_pendente"
"AM","1301902","Itacoatiara","bandeira","revisao_pendente"
"AM","1301951","Itamarati","brasao","nao_encontrado"
"AM","1301951","Itamarati","bandeira","nao_encontrado"
"AM","1302009","Itapiranga","brasao","revisao_pendente"
"AM","1302009","Itapiranga","bandeira","revisao_pendente"
"AM","1302108","Japurá","brasao","revisao_pendente"
"AM","1302108","Japurá","bandeira","revisao_pendente"
"AM","1302207","Juruá","brasao","nao_encontrado"
"AM","1302207","Juruá","bandeira","revisao_pendente"
"AM","1302306","Jutaí","brasao","revisao_pendente"
"AM","1302306","Jutaí","bandeira","revisao_pendente"
"AM","1302405","Lábrea","brasao","revisao_pendente"
"AM","1302405","Lábrea","bandeira","revisao_pendente"
"AM","1302504","Manacapuru","brasao","revisao_pendente"
"AM","1302504","Manacapuru","bandeira","revisao_pendente"
"AM","1302553","Manaquiri","brasao","nao_encontrado"
"AM","1302553","Manaquiri","bandeira","nao_encontrado"
"AM","1302603","Manaus","brasao","rejeitado"
"AM","1302603","Manaus","bandeira","revisao_pendente"
"AM","1302702","Manicoré","brasao","revisao_pendente"
"AM","1302702","Manicoré","bandeira","revisao_pendente"
"AM","1302801","Maraã","brasao","nao_encontrado"
"AM","1302801","Maraã","bandeira","nao_encontrado"
"AM","1302900","Maués","brasao","revisao_pendente"
"AM","1302900","Maués","bandeira","revisao_pendente"
"AM","1303007","Nhamundá","brasao","revisao_pendente"
"AM","1303007","Nhamundá","bandeira","revisao_pendente"
"AM","1303106","Nova Olinda do Norte","brasao","revisao_pendente"
"AM","1303106","Nova Olinda do Norte","bandeira","revisao_pendente"
"AM","1303205","Novo Airão","brasao","revisao_pendente"
"AM","1303205","Novo Airão","bandeira","nao_encontrado"
"AM","1303304","Novo Aripuanã","brasao","revisao_pendente"
"AM","1303304","Novo Aripuanã","bandeira","revisao_pendente"
"AM","1303403","Parintins","brasao","revisao_pendente"
"AM","1303403","Parintins","bandeira","revisao_pendente"
"AM","1303502","Pauini","brasao","nao_encontrado"
"AM","1303502","Pauini","bandeira","nao_encontrado"
"AM","1303536","Presidente Figueiredo","brasao","nao_encontrado"
"AM","1303536","Presidente Figueiredo","bandeira","revisao_pendente"
"AM","1303569","Rio Preto da Eva","brasao","nao_encontrado"
"AM","1303569","Rio Preto da Eva","bandeira","revisao_pendente"
"AM","1303601","Santa Isabel do Rio Negro","brasao","revisao_pendente"
"AM","1303601","Santa Isabel do Rio Negro","bandeira","revisao_pendente"
"AM","1303700","Santo Antônio do Içá","brasao","nao_encontrado"
"AM","1303700","Santo Antônio do Içá","bandeira","revisao_pendente"
"AM","1303809","São Gabriel da Cachoeira","brasao","revisao_pendente"
"AM","1303809","São Gabriel da Cachoeira","bandeira","revisao_pendente"
"AM","1303908","São Paulo de Olivença","brasao","nao_encontrado"
"AM","1303908","São Paulo de Olivença","bandeira","nao_encontrado"
"AM","1303957","São Sebastião do Uatumã","brasao","revisao_pendente"
"AM","1303957","São Sebastião do Uatumã","bandeira","revisao_pendente"
"AM","1304005","Silves","brasao","rejeitado"
"AM","1304005","Silves","bandeira","revisao_pendente"
"AM","1304062","Tabatinga","brasao","revisao_pendente"
"AM","1304062","Tabatinga","bandeira","revisao_pendente"
"AM","1304104","Tapauá","brasao","nao_encontrado"
"AM","1304104","Tapauá","bandeira","nao_encontrado"
"AM","1304203","Tefé","brasao","revisao_pendente"
"AM","1304203","Tefé","bandeira","revisao_pendente"
"AM","1304237","Tonantins","brasao","revisao_pendente"
"AM","1304237","Tonantins","bandeira","revisao_pendente"
"AM","1304260","Uarini","brasao","nao_encontrado"
"AM","1304260","Uarini","bandeira","nao_encontrado"
"AM","1304302","Urucará","brasao","revisao_pendente"
"AM","1304302","Urucará","bandeira","revisao_pendente"
"AM","1304401","Urucurituba","brasao","nao_encontrado"
"AM","1304401","Urucurituba","bandeira","nao_encontrado"
"RR","1400027","Amajari","brasao","revisao_pendente"
"RR","1400027","Amajari","bandeira","revisao_pendente"
"RR","1400050","Alto Alegre","brasao","revisao_pendente"
"RR","1400050","Alto Alegre","bandeira","revisao_pendente"
"RR","1400100","Boa Vista","brasao","revisao_pendente"
"RR","1400100","Boa Vista","bandeira","revisao_pendente"
"RR","1400159","Bonfim","brasao","revisao_pendente"
"RR","1400159","Bonfim","bandeira","revisao_pendente"
