"codigo_ibge","municipio","uf","status","arquivo_commons","pagina_origem","motivo","tentativas"
"2208551","Porto Alegre do Piauí","PI","nao_encontrado","","","",0
"2208601","Prata do Piauí","PI","nao_encontrado","","","",0
"2208700","Redenção do Gurguéia","PI","nao_encontrado","File:Brasão de Redenção do Gurgueia.png","","",0
"2208858","Riacho Frio","PI","nao_encontrado","","","",0
"2208874","Ribeira do Piauí","PI","nao_encontrado","","","",0
"2208908","Ribeiro Gonçalves","PI","nao_encontrado","","","",0
"2209005","Rio Grande do Piauí","PI","nao_encontrado","","","",0
"2209104","Santa Cruz do Piauí","PI","nao_encontrado","","","",0
"2209153","Santa Cruz dos Milagres","PI","nao_encontrado","","","",0
"2209203","Santa Filomena","PI","nao_encontrado","","","",0
"2209302","Santa Luz","PI","nao_encontrado","","","",0
"2209351","Santana do Piauí","PI","nao_encontrado","","","",0
"2209377","Santa Rosa do Piauí","PI","nao_encontrado","","","",0
"2209450","Santo Antônio dos Milagres","PI","nao_encontrado","","","",0
"2209500","Santo Inácio do Piauí","PI","nao_encontrado","","","",0
"2209559","São Braz do Piauí","PI","nao_encontrado","","","",0
"2209609","São Félix do Piauí","PI","nao_encontrado","","","",0
"2209658","São Francisco de Assis do Piauí","PI","nao_encontrado","","","",0
"2209708","São Francisco do Piauí","PI","nao_encontrado","","","",0
"2209757","São Gonçalo do Gurguéia","PI","nao_encontrado","","","",0
"2209807","São Gonçalo do Piauí","PI","nao_encontrado","","","",0
"2209872","São João da Fronteira","PI","nao_encontrado","","","",0
"2210052","São José do Divino","PI","nao_encontrado","","","",0
