"codigo_ibge","municipio","uf","tipo","status","arquivo_commons","pagina_origem","motivo","tentativas"
"1703883","Carmolândia","TO","brasao","nao_encontrado","","","",0
"1703891","Carrasco Bonito","TO","brasao","nao_encontrado","","","",0
"1703891","Carrasco Bonito","TO","bandeira","nao_encontrado","","","",0
"1703909","Caseara","TO","brasao","nao_encontrado","","","",0
"1703909","Caseara","TO","bandeira","nao_encontrado","","","",0
"1704105","Centenário","TO","brasao","nao_encontrado","","","",0
"1704105","Centenário","TO","bandeira","nao_encontrado","","","",0
"1704600","Chapada de Areia","TO","brasao","nao_encontrado","","","",0
"1704600","Chapada de Areia","TO","bandeira","nao_encontrado","","","",0
"1705508","Colinas do Tocantins","TO","brasao","rejeitado","File:BRASÃO DE ARMAS COLINAS DO TOCANTINS.svg","https://commons.wikimedia.org/wiki/File:BRAS%C3%83O_DE_ARMAS_COLINAS_DO_TOCANTINS.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"1705557","Combinado","TO","brasao","nao_encontrado","","","",0
"1705557","Combinado","TO","bandeira","rejeitado","File:BANDEIRA DE COMBINADO.svg","https://commons.wikimedia.org/wiki/File:BANDEIRA_DE_COMBINADO.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"1705607","Conceição do Tocantins","TO","brasao","nao_encontrado","","","",0
"1705607","Conceição do Tocantins","TO","bandeira","nao_encontrado","","","",0
"1706100","Cristalândia","TO","brasao","nao_encontrado","","","",0
"1706100","Cristalândia","TO","bandeira","nao_encontrado","","","",0
"1706258","Crixás do Tocantins","TO","brasao","nao_encontrado","","","",0
"1706258","Crixás do Tocantins","TO","bandeira","nao_encontrado","","","",0
"1706506","Darcinópolis","TO","brasao","nao_encontrado","","","",0
"1706506","Darcinópolis","TO","bandeira","nao_encontrado","","","",0
"1707207","Dois Irmãos do Tocantins","TO","brasao","nao_encontrado","","","",0
"1707207","Dois Irmãos do Tocantins","TO","bandeira","nao_encontrado","","","",0
"1707553","Fátima","TO","brasao","nao_encontrado","","","",0
"1707553","Fátima","TO","bandeira","nao_encontrado","","","",0
"1707652","Figueirópolis","TO","brasao","nao_encontrado","","","",0
"1707652","Figueirópolis","TO","bandeira","nao_encontrado","","","",0
"1708254","Tabocão","TO","brasao","nao_encontrado","","","",0
"1708254","Tabocão","TO","bandeira","nao_encontrado","","","",0
"1708304","Goianorte","TO","brasao","nao_encontrado","","","",0
"1708304","Goianorte","TO","bandeira","nao_encontrado","","","",0
"1709807","Ipueiras","TO","brasao","nao_encontrado","","","",0
"1709807","Ipueiras","TO","bandeira","nao_encontrado","","","",0
"1710508","Itacajá","TO","bandeira","nao_encontrado","","","",0
"1710706","Itaguatins","TO","brasao","nao_encontrado","","","",0
"1710706","Itaguatins","TO","bandeira","nao_encontrado","","","",0
"1710904","Itapiratins","TO","brasao","nao_encontrado","","","",0
"1710904","Itapiratins","TO","bandeira","nao_encontrado","","","",0
"1711100","Itaporã do Tocantins","TO","brasao","nao_encontrado","","","",0
"1711100","Itaporã do Tocantins","TO","bandeira","nao_encontrado","","","",0
"1711506","Jaú do Tocantins","TO","brasao","nao_encontrado","","","",0
"1711506","Jaú do Tocantins","TO","bandeira","nao_encontrado","","","",0
"1711803","Juarina","TO","brasao","nao_encontrado","","","",0
"1711803","Juarina","TO","bandeira","nao_encontrado","","","",0
"1711902","Lagoa da Confusão","TO","brasao","nao_encontrado","","","",0
"1711951","Lagoa do Tocantins","TO","brasao","nao_encontrado","","","",0
"1711951","Lagoa do Tocantins","TO","bandeira","nao_encontrado","","","",0
"1712157","Lavandeira","TO","brasao","nao_encontrado","","","",0
"1712405","Lizarda","TO","bandeira","nao_encontrado","","","",0
"1712454","Luzinópolis","TO","brasao","nao_encontrado","","","",0
"1712454","Luzinópolis","TO","bandeira","nao_encontrado","","","",0
"1712702","Mateiros","TO","brasao","nao_encontrado","","","",0
"1712702","Mateiros","TO","bandeira","nao_encontrado","","","",0
"1712801","Maurilândia do Tocantins","TO","brasao","nao_encontrado","","","",0
"1712801","Maurilândia do Tocantins","TO","bandeira","nao_encontrado","","","",0
"1713601","Monte do Carmo","TO","brasao","nao_encontrado","","","",0
"1713601","Monte do Carmo","TO","bandeira","nao_encontrado","","","",0
"1713700","Monte Santo do Tocantins","TO","bandeira","nao_encontrado","","","",0
"1713809","Palmeiras do Tocantins","TO","brasao","nao_encontrado","","","",0
"1713957","Muricilândia","TO","brasao","nao_encontrado","","","",0
"1713957","Muricilândia","TO","bandeira","nao_encontrado","","","",0
"1714302","Nazaré","TO","brasao","nao_encontrado","","","",0
"1714302","Nazaré","TO","bandeira","nao_encontrado","","","",0
"1715002","Nova Rosalândia","TO","brasao","nao_encontrado","","","",0
"1715101","Novo Acordo","TO","brasao","nao_encontrado","","","",0
"1715101","Novo Acordo","TO","bandeira","nao_encontrado","","","",0
"1715259","Novo Jardim","TO","brasao","nao_encontrado","","","",0
"1715259","Novo Jardim","TO","bandeira","nao_encontrado","","","",0
"1715705","Palmeirante","TO","brasao","nao_encontrado","","","",0
"1715705","Palmeirante","TO","bandeira","nao_encontrado","","","",0
"1715754","Palmeirópolis","TO","brasao","nao_encontrado","","","",0
"1715754","Palmeirópolis","TO","bandeira","nao_encontrado","","","",0
"1716307","Pau D'Arco","TO","brasao","nao_encontrado","","","",0
"1716307","Pau D'Arco","TO","bandeira","nao_encontrado","","","",0
"1716653","Pequizeiro","TO","brasao","nao_encontrado","","","",0
"1716653","Pequizeiro","TO","bandeira","nao_encontrado","","","",0
"1717008","Pindorama do Tocantins","TO","brasao","nao_encontrado","","","",0
"1717008","Pindorama do Tocantins","TO","bandeira","nao_encontrado","","","",0
"1717206","Piraquê","TO","brasao","nao_encontrado","","","",0
"1717206","Piraquê","TO","bandeira","nao_encontrado","","","",0
"1717503","Pium","TO","brasao","nao_encontrado","","","",0
"1717503","Pium","TO","bandeira","rejeitado","File:BANDEIRA DE PIUM.svg","https://commons.wikimedia.org/wiki/File:BANDEIRA_DE_PIUM.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"1717800","Ponte Alta do Bom Jesus","TO","brasao","nao_encontrado","","","",0
"1717800","Ponte Alta do Bom Jesus","TO","bandeira","nao_encontrado","","","",0
"1717909","Ponte Alta do Tocantins","TO","brasao","nao_encontrado","","","",0
"1717909","Ponte Alta do Tocantins","TO","bandeira","nao_encontrado","","","",0
"1718006","Porto Alegre do Tocantins","TO","brasao","nao_encontrado","","","",0
"1718303","Praia Norte","TO","brasao","nao_encontrado","","","",0
"1718303","Praia Norte","TO","bandeira","nao_encontrado","","","",0
"1718402","Presidente Kennedy","TO","brasao","nao_encontrado","","","",0
"1718402","Presidente Kennedy","TO","bandeira","nao_encontrado","","","",0
"1718451","Pugmil","TO","brasao","nao_encontrado","","","",0
"1718451","Pugmil","TO","bandeira","nao_encontrado","","","",0
"1718501","Recursolândia","TO","brasao","nao_encontrado","","","",0
"1718659","Rio da Conceição","TO","brasao","nao_encontrado","","","",0
"1718659","Rio da Conceição","TO","bandeira","nao_encontrado","","","",0
