"codigo_ibge","municipio","uf","status","arquivo_commons","pagina_origem","motivo","tentativas"
"2207777","Patos do Piauí","PI","nao_encontrado","","","",0
"2207793","Pau D'Arco do Piauí","PI","nao_encontrado","","","",0
"2207850","Pavussu","PI","nao_encontrado","","","",0
"2207934","Pedro Laurentino","PI","nao_encontrado","","","",0
"2207959","Nova Santa Rita","PI","nao_encontrado","","","",0
"2208551","Porto Alegre do Piauí","PI","nao_encontrado","","","",0
"2208601","Prata do Piauí","PI","nao_encontrado","","","",0
"2208700","Redenção do Gurguéia","PI","nao_encontrado","File:Bandeira de Redenção do Gurgueia.jpg","","",0
"2208809","Regeneração","PI","nao_encontrado","","","",0
"2208874","Ribeira do Piauí","PI","nao_encontrado","","","",0
"2208908","Ribeiro Gonçalves","PI","nao_encontrado","","","",0
"2209005","Rio Grande do Piauí","PI","nao_encontrado","","","",0
"2209104","Santa Cruz do Piauí","PI","nao_encontrado","","","",0
"2209203","Santa Filomena","PI","nao_encontrado","","","",0
"2209302","Santa Luz","PI","nao_encontrado","","","",0
"2209351","Santana do Piauí","PI","nao_encontrado","","","",0
"2209559","São Braz do Piauí","PI","nao_encontrado","","","",0
"2209658","São Francisco de Assis do Piauí","PI","nao_encontrado","","","",0
"2209757","São Gonçalo do Gurguéia","PI","nao_encontrado","","","",0
"2209807","São Gonçalo do Piauí","PI","nao_encontrado","","","",0
"2209872","São João da Fronteira","PI","nao_encontrado","","","",0
"2210201","São José do Piauí","PI","nao_encontrado","","","",0
"2210300","São Julião","PI","nao_encontrado","","","",0
"2210383","São Miguel da Baixa Grande","PI","nao_encontrado","","","",0
"2210391","São Miguel do Fidalgo","PI","nao_encontrado","","","",0
"2210409","São Miguel do Tapuio","PI","nao_encontrado","","","",0
"2210631","Sebastião Leal","PI","nao_encontrado","","","",0
"2210904","Socorro do Piauí","PI","nao_encontrado","","","",0
"2210938","Sussuapara","PI","nao_encontrado","","","",0
"2210953","Tamboril do Piauí","PI","nao_encontrado","","","",0
"2210979","Tanque do Piauí","PI","nao_encontrado","","","",0
"2211209","Uruçuí","PI","nao_encontrado","","","",0
"2211308","Valença do Piauí","PI","nao_encontrado","","","",0
"2211357","Várzea Branca","PI","nao_encontrado","","","",0
"2211407","Várzea Grande","PI","nao_encontrado","","","",0
"2211605","Vila Nova do Piauí","PI","nao_encontrado","","","",0
"2211704","Wall Ferraz","PI","nao_encontrado","","","",0
"2300150","Acarape","CE","nao_encontrado","","","",0
"2300606","Altaneira","CE","nao_encontrado","","","",0
"2300804","Antonina do Norte","CE","nao_encontrado","","","",0
"2301208","Aracoiaba","CE","nao_encontrado","","","",0
"2301604","Assaré","CE","nao_encontrado","","","",0
"2302057","Barroquinha","CE","nao_encontrado","","","",0
"2302305","Bela Cruz","CE","rejeitado","File:BANDEIRA de BELA CRUZ.jpg","https://commons.wikimedia.org/wiki/File:BANDEIRA_de_BELA_CRUZ.jpg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"2303006","Caridade","CE","nao_encontrado","","","",0
"2303931","Choró","CE","nao_encontrado","","","",0
"2303956","Chorozinho","CE","nao_encontrado","","","",0
"2304285","Eusébio","CE","nao_encontrado","","","",0
"2304400","Fortaleza","CE","rejeitado","File:Bandeira de Fortaleza.svg","https://commons.wikimedia.org/wiki/File:Bandeira_de_Fortaleza.svg","Validação automática de segurança: SVG contém conteúdo ativo ou recurso externo",0
"2305100","Guaramiranga","CE","nao_encontrado","","","",0
"2305209","Hidrolândia","CE","nao_encontrado","","","",0
"2305308","Ibiapina","CE","rejeitado","File:Bandeira de Ibiapina.svg","https://commons.wikimedia.org/wiki/File:Bandeira_de_Ibiapina.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"2305332","Ibicuitinga","CE","nao_encontrado","","","",0
"2305654","Ipaporanga","CE","nao_encontrado","","","",0
"2306009","Iracema","CE","nao_encontrado","","","",0
"2306108","Irauçuba","CE","nao_encontrado","","","",0
"2307007","Jaguaruana","CE","nao_encontrado","","","",0
"2308351","Milhã","CE","nao_encontrado","","","",0
"2309201","Nova Olinda","CE","nao_encontrado","","","",0
"2310506","Pedra Branca","CE","nao_encontrado","","","",0
"2311207","Potengi","CE","nao_encontrado","","","",0
"2311405","Quixeramobim","CE","nao_encontrado","","","",0
"2311959","Salitre","CE","nao_encontrado","","","",0
"2313708","Umari","CE","nao_encontrado","","","",0
"2411809","São Fernando","RN","nao_encontrado","","","",0
"2501708","Barra de São Miguel","PB","nao_encontrado","","","",0
"2504850","Coxixola","PB","nao_encontrado","","","",0
"2505303","Curral Velho","PB","nao_encontrado","","","",0
"2505808","Duas Estradas","PB","rejeitado","File:Bandeira de Duas Estradas.svg","https://commons.wikimedia.org/wiki/File:Bandeira_de_Duas_Estradas.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"2506301","Guarabira","PB","rejeitado","File:Bandeiraguarabira.svg","https://commons.wikimedia.org/wiki/File:Bandeiraguarabira.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"2508307","Lagoa Seca","PB","rejeitado","File:Bandeira lagoa seca.svg","https://commons.wikimedia.org/wiki/File:Bandeira_lagoa_seca.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"2510006","Nazarezinho","PB","nao_encontrado","","","",0
"2511004","Pedra Branca","PB","nao_encontrado","","","",0
"2512200","Prata","PB","rejeitado","File:Bandeira do Município de Prata, Paraíba.svg","https://commons.wikimedia.org/wiki/File:Bandeira_do_Munic%C3%ADpio_de_Prata,_Para%C3%ADba.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"2513943","São Domingos do Cariri","PB","nao_encontrado","","","",0
"2514305","São José de Caiana","PB","nao_encontrado","","","",0
"2514453","São José dos Ramos","PB","nao_encontrado","","","",0
"2514503","São José de Piranhas","PB","nao_encontrado","","","",0
"2515708","Serra Grande","PB","nao_encontrado","","","",0
"2516300","Sumé","PB","rejeitado","File:Bandeira Oficial da cidade de Sumé-PB.svg","https://commons.wikimedia.org/wiki/File:Bandeira_Oficial_da_cidade_de_Sum%C3%A9-PB.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"2517209","Vieirópolis","PB","nao_encontrado","","","",0
"2600104","Afogados da Ingazeira","PE","rejeitado","File:Bandeira de Afogados da Ingazeira, PE.svg","https://commons.wikimedia.org/wiki/File:Bandeira_de_Afogados_da_Ingazeira,_PE.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"2601409","Barreiros","PE","rejeitado","File:Bandeira de Barreiros.svg","https://commons.wikimedia.org/wiki/File:Bandeira_de_Barreiros.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"2601508","Belém de Maria","PE","rejeitado","File:Bandeira de Belem de Maria.svg","https://commons.wikimedia.org/wiki/File:Bandeira_de_Belem_de_Maria.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"2601706","Belo Jardim","PE","rejeitado","File:Bandeira de Belo Jardim.svg","https://commons.wikimedia.org/wiki/File:Bandeira_de_Belo_Jardim.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
